Items,Key Length,Stage 1 KBytes Read,Total KBytes Read,Stage 1 CPU Time,Stage 2 CPU Time,Total CPU Time
10,1024,20,21,187,0,702
10,1024,19,21,249,15,405
10,1024,21,21,202,15,421
10,1024,21,21,202,0,390
10,1024,19,21,234,15,483
25,1024,44,46,530,31,764
25,1024,44,46,546,46,795
25,1024,43,46,561,31,780
25,1024,44,46,561,31,795
25,1024,43,46,530,31,795
50,1024,86,86,920,15,1170
50,1024,84,86,904,31,1154
50,1024,85,86,920,15,1154
50,1024,84,86,951,15,1232
50,1024,84,86,889,15,1123
75,1024,124,127,1388,15,1638
75,1024,124,127,1357,15,1669
75,1024,124,127,1372,15,1638
75,1024,124,127,1450,15,1638
75,1024,124,127,1372,0,1638
100,1024,165,167,1762,15,2090
100,1024,165,167,1778,0,2012
100,1024,165,167,1716,15,2012
100,1024,165,167,1825,15,2090
100,1024,166,167,1856,31,2137
200,1024,329,332,3369,31,3619
200,1024,329,332,3572,46,3915
200,1024,331,332,3385,46,3681
200,1024,327,332,3400,46,3728
200,1024,331,332,3993,46,4243
400,1024,651,653,6739,15,6988
400,1024,652,653,7706,15,7987
400,1024,651,653,6942,31,7254
400,1024,651,653,7378,15,7690
400,1024,652,653,7378,15,7659
500,1024,813,816,9500,15,9796
500,1024,814,816,9547,15,9937
500,1024,814,816,9172,62,9594
500,1024,813,816,9703,31,10062
500,1024,814,816,9032,31,9438
600,1024,976,978,10717,15,11060
600,1024,975,978,11934,31,12261
600,1024,976,978,11871,15,12324
600,1024,976,978,12168,15,12511
600,1024,977,978,10654,15,11029
800,1024,1300,1301,15740,15,16083
800,1024,1299,1301,14492,15,14820
800,1024,1300,1301,14476,15,14757
800,1024,1299,1301,16208,31,16598
800,1024,1299,1301,14554,15,14898
1000,1024,1624,1626,18657,62,19063
1000,1024,1624,1626,18595,62,18969
1000,1024,1624,1626,18033,62,18392
1000,1024,1623,1626,19734,46,20139
1000,1024,1625,1626,19453,46,19874
1500,1024,2433,2435,29421,46,29811
1500,1024,2433,2435,29842,46,30295
1500,1024,2434,2435,29640,46,30076
1500,1024,2434,2435,28298,15,28688
1500,1024,2433,2435,29749,46,30170
2000,1024,3245,3245,40123,46,40591
2000,1024,3244,3245,37362,46,37845
2000,1024,3244,3245,36301,62,36769
2000,1024,3243,3245,39936,62,40451
2000,1024,3243,3245,39577,46,40061
10,768,16,18,124,15,358
10,768,18,18,93,15,296
10,768,16,18,109,15,296
10,768,16,18,124,15,358
10,768,16,18,109,0,312
25,768,37,39,202,15,452
25,768,36,39,234,0,436
25,768,36,39,265,31,483
25,768,36,39,234,15,452
25,768,36,39,234,15,468
50,768,71,72,468,15,748
50,768,71,72,499,15,733
50,768,70,72,468,15,717
50,768,70,72,468,0,702
50,768,70,72,452,15,702
75,768,104,105,717,15,982
75,768,104,105,670,0,920
75,768,104,105,670,15,889
75,768,103,105,624,0,889
75,768,103,105,686,15,951
100,768,137,139,795,0,998
100,768,137,139,873,15,1138
100,768,137,139,764,15,967
100,768,137,139,795,15,1060
100,768,137,139,889,0,1123
200,768,270,275,1653,15,1918
200,768,270,275,1575,31,1856
200,768,270,275,1513,31,1794
200,768,270,275,1544,31,1856
200,768,272,275,1513,15,1731
400,768,538,541,3057,15,3291
400,768,538,541,2854,0,3135
400,768,539,541,3057,31,3354
400,768,539,541,3073,31,3400
400,768,539,541,2870,15,3135
500,768,673,675,3962,31,4336
500,768,673,675,3915,31,4227
500,768,672,675,3463,15,3806
500,768,673,675,3884,15,4196
500,768,672,675,3853,15,4196
600,768,806,809,5101,15,5444
600,768,806,809,4992,15,5335
600,768,807,809,5319,15,5694
600,768,806,809,5085,15,5475
600,768,806,809,5241,15,5569
800,768,1074,1076,6130,31,6474
800,768,1075,1076,6302,31,6676
800,768,1074,1076,6255,15,6598
800,768,1074,1076,6271,15,6645
800,768,1075,1076,6318,31,6630
1000,768,1343,1345,7893,31,8236
1000,768,1342,1345,8065,31,8408
1000,768,1343,1345,7878,46,8299
1000,768,1344,1345,7753,31,8174
1000,768,1342,1345,7659,46,8065
1500,768,2011,2013,11325,31,11700
1500,768,2012,2013,11528,46,11902
1500,768,2012,2013,12168,46,12620
1500,768,2012,2013,11934,31,12339
1500,768,2011,2013,12199,31,12604
2000,768,2682,2683,15397,78,15880
2000,768,2680,2683,15802,78,16270
2000,768,2680,2683,15568,78,16052
2000,768,2681,2683,15568,78,16068
2000,768,2681,2683,15880,62,16348
200,1024,327,332,3338,62,3634
200,1024,292,329,3400,31,3666
200,1024,292,329,3385,46,3666
200,1024,327,329,3525,62,3884
200,1024,292,329,3447,46,3728
